City,Country,Cloudiness,Humidity,Latitude,Longitude,Temperature,Speed
ponta do sol,PT,40,77,32.67,-17.1,62.6,11.41
hobart,AU,75,68,-42.88,147.33,64.4,20.8
prigorodka,RU,90,100,52.04,39.71,28.4,6.71
hilo,US,1,73,19.73,-155.09,69.8,4.7
yellowknife,CA,90,92,62.46,-114.35,12.2,10.29
albany,US,75,62,42.65,-73.76,24.8,3.36
chuy,UY,92,98,-33.7,-53.46,72.49,8.77
songkhla,TH,40,74,7.2,100.6,86,4.7
dikson,RU,76,86,73.51,80.55,7.06,25.77
saint simons,US,1,67,31.14,-81.39,57.2,8.05
port-gentil,GA,40,94,-0.72,8.78,75.2,3.62
katsuura,JP,20,31,35.13,140.3,50,21.92
sao raimundo das mangabeiras,BR,20,98,-7.02,-45.48,69.25,6.87
puerto ayora,EC,76,98,-0.74,-90.35,73.66,6.42
provideniya,RU,8,100,64.38,-173.3,25.24,23.53
saint-philippe,RE,90,51,-21.36,55.77,86,6.93
palmares do sul,BR,12,96,-30.26,-50.51,32,8.05
port alfred,ZA,92,74,-33.59,26.89,71.18,11.12
isangel,VU,92,100,-19.55,169.27,80.5,12.8
kousseri,CM,0,25,12.08,15.03,60.8,10
belushya guba,RU,0,100,69.71,60.05,-19.95,3.06
olafsvik,IS,92,100,64.89,-23.71,42.56,27
namibe,AO,100,100,-15.2,12.15,71.95,0.83
jamestown,US,90,78,42.1,-79.24,21.2,13.87
hami,CN,0,81,42.8,93.45,21.64,3.96
kihei,US,20,73,20.79,-156.47,71.6,6.93
egvekinot,RU,0,68,66.32,-179.17,-5.41,3.4
kirakira,SB,20,100,-10.45,161.92,83.29,7.54
torbay,CA,90,98,47.67,-52.73,32,35.57
belaya gora,RU,0,0,68.53,146.42,-49.02,3.06
east london,ZA,0,82,-33.02,27.91,68,11.41
nome,US,40,86,64.5,-165.41,28.4,19.46
goderich,CA,76,66,43.75,-81.72,15.8,11.41
palabuhanratu,ID,68,100,-6.95,106.49,81.31,9.78
bluff,NZ,36,100,-46.6,168.33,54.58,24.09
yukhnov,RU,76,93,54.74,35.23,28.16,9.78
uren,RU,76,83,57.46,45.79,3.14,6.87
mbandaka,CD,48,100,0.05,18.26,73.88,3.18
hithadhoo,MV,44,100,-0.6,73.08,80.32,7.76
praia da vitoria,PT,20,93,38.73,-27.07,55.4,4.7
salalah,OM,0,36,17.02,54.09,75.2,3.74
mataura,IN,0,100,27.5,77.68,53.6,2.24
ketchikan,US,75,100,55.34,-131.65,30.2,3.29
cedar city,US,90,90,37.68,-113.06,37.4,13.87
khuzhir,RU,0,84,53.19,107.34,16.96,1.83
doctor pedro p. pena,PY,20,70,-25.33,-57.53,84.2,8.05
cherskiy,RU,0,33,68.75,161.3,-22.24,7.99
tautira,PF,75,66,-17.73,-149.15,84.2,4.7
kodiak,US,1,64,57.79,-152.41,75.2,17.22
newport,GB,0,80,51.59,-3,32,9.17
punta cardon,VE,0,77,11.66,-70.21,76.9,13.91
geraldton,AU,0,61,-28.77,114.6,77,13.87
qaqortoq,GL,8,60,60.72,-46.03,6.8,5.82
butaritari,KI,92,100,3.07,172.79,82.88,11.45
mahebourg,MU,40,69,-20.41,57.7,82.4,8.05
kisangani,CD,88,48,0.52,25.2,83.06,2.62
shar,KZ,44,96,49.59,81.05,25.33,7.99
sorvag,NO,20,62,68.09,15.6,19.4,10.29
san juan,AR,0,42,-31.54,-68.54,68,8.05
leningradskiy,RU,20,100,69.38,178.42,-9.87,14.58
prescott,US,90,75,34.54,-112.47,46.4,4.07
ewa beach,US,20,73,21.32,-158.01,71.6,3.36
amapa,BR,20,100,0.04,-51.07,78.8,5.82
mar del plata,AR,0,82,-38,-57.56,59,8.05
hutang,CN,90,100,31.53,119.48,48.2,13.42
santa cruz del sur,CU,8,92,20.71,-78,68.44,2.95
tuyen quang,VN,100,100,21.82,105.22,65.96,3.4
fairbanks,US,90,100,64.84,-147.72,17.6,2.84
inhambane,MZ,48,96,-23.86,35.38,79.24,7.31
chokurdakh,RU,0,0,70.63,147.92,-41.91,3.06
kenitra,MA,0,81,34.26,-6.58,46.4,3.36
lebu,CL,24,100,-37.62,-73.65,59.8,17.49
cockburn town,TC,92,100,21.46,-71.14,78.79,16.15
lavrentiya,RU,0,100,65.58,-171,19.3,27.34
tsihombe,MG,48,74,-25.3,45.48,81.71,5.97
ginda,IN,12,100,27.13,81.93,63.89,7.65
leh,IN,56,86,34.17,77.58,2.24,0.6
berezovyy,RU,0,70,51.67,135.7,-2.26,2.28
xiuyan,CN,20,98,40.29,123.27,31.9,3.29
kayfan,KW,0,57,29.35,47.96,51.8,17.22
businga,CD,0,84,3.33,20.88,76.31,2.39
uzhur,RU,88,87,55.3,89.83,29.78,10.67
shunyi,CN,92,64,40.12,116.65,37.4,6.71
rocha,UY,80,99,-34.48,-54.33,67.99,5.97
cidreira,BR,12,96,-30.18,-50.21,72.4,2.73
muyezerskiy,RU,48,78,63.93,31.65,2.06,3.85
attawapiskat,CA,76,73,52.3,-81.62,5.89,23.87
hasaki,JP,75,23,35.73,140.83,48.2,13.87
khromtau,KZ,48,87,50.25,58.43,15.74,5.97
filimonovo,RU,56,85,56.2,95.46,30.59,14.92
acapulco,MX,5,83,16.86,-99.89,78.8,3.85
khatanga,RU,8,0,71.97,102.5,-51.63,3.06
upernavik,GL,48,100,72.79,-56.15,4.36,4.41
saint george,US,90,70,37.1,-113.58,46.4,5.41
dingle,PH,68,86,11,122.67,80.36,11.34
iwanai,JP,76,100,42.97,140.51,28.93,11.68
codrington,AU,0,88,-38.27,141.97,68.53,9.66
bethel,US,20,42,41.37,-73.41,35.6,10.29
karauzyak,UZ,0,87,43.02,60.02,33.8,4.7
airai,IN,32,100,25.35,82.47,60.07,4.63
lata,PT,12,89,40.16,-8.33,46.43,2.06
fortuna,US,90,100,40.6,-124.16,32,5.82
nizhneyansk,RU,75,84,55.64,51.82,5,6.71
grimshaw,CA,90,92,56.18,-117.6,26.6,2.24
chara,RU,56,68,56.91,118.26,1.75,2.28
marsh harbour,BS,12,100,26.54,-77.06,72.76,15.59
thayetmyo,MM,0,75,19.32,95.18,80.5,9.44
sumy,UA,88,94,50.92,34.8,29.74,11.79
jieshou,CN,92,100,33.26,115.36,46.21,11.45
araouane,ML,0,78,18.9,-3.53,40.99,5.41
salisbury,GB,1,100,51.07,-1.8,26.6,3.36
hanna,CA,80,62,51.63,-111.9,2.24,4.85
korla,CN,0,79,41.76,86.15,24.83,3.74
tuatapere,NZ,0,90,-46.13,167.68,54.58,16.37
fontenay-le-comte,FR,0,93,46.47,-0.82,35.6,5.82
samusu,CN,0,54,41.43,128.03,23.62,2.28
marrakesh,MA,0,60,31.63,-8.01,42.8,3.36
kamenka,RU,88,92,51.32,42.77,27.44,16.49
norman wells,CA,20,92,65.28,-126.83,10.4,2.24
sataua,FI,0,84,60.45,22.27,-2.21,6.93
amderma,RU,0,57,69.75,61.65,-32.46,2.73
villiers,ZA,48,82,-27.03,28.6,62.36,9.22
ostrovnoy,RU,48,89,68.05,39.51,3.86,3.74
george,ZA,0,88,-33.96,22.46,68,5.82
artyk,RU,36,70,57.71,52.5,-1.86,4.85
tumannyy,RU,76,100,69.16,35.15,4.63,7.76
khani,NP,0,52,29.26,80.94,52.69,1.28
castro,BR,24,93,-24.79,-50.01,67.18,2.39
yarmouth,US,1,69,41.71,-70.23,39.2,6.93
kamaishi,JP,40,51,39.27,141.88,35.6,9.17
disna,CZ,80,89,50.76,15.3,22.94,12.24
coahuayana,MX,0,100,18.73,-103.68,74.74,2.06
arraial do cabo,BR,8,88,-22.97,-42.03,77.35,17.38
aldan,RU,76,57,58.6,125.39,4.63,3.51
walvis bay,NA,92,82,-22.96,14.51,64.4,6.93
clyde river,CA,1,74,70.47,-68.59,-25.61,5.41
mizdah,LY,0,79,31.45,12.98,31.9,9.55
saint-francois,FR,75,97,46.42,3.91,33.8,4.7
high rock,BS,76,100,26.62,-78.28,73.61,12.68
killybegs,IE,24,100,54.63,-8.45,37.84,11.34
rodrigues alves,BR,90,94,-7.57,-72.62,75.2,3.06
sri aman,MY,75,66,1.23,111.47,89.6,2.24
el dorado,US,1,92,33.21,-92.67,30.2,4.7
vestmanna,FO,80,69,62.16,-7.17,39.2,16.11
hermanus,ZA,8,71,-34.42,19.23,68.66,3.18
lorengau,PG,36,100,-2.02,147.27,82.88,5.08
portland,US,1,38,45.52,-122.68,28.4,8.05
antofagasta,CL,20,82,-23.65,-70.4,66.2,1.12
pitanga,BR,24,97,-24.76,-51.76,68.08,2.28
amga,RU,12,60,60.9,131.96,-13.2,4.41
marcona,PE,0,100,-15.37,-75.16,65.96,2.62
skjervoy,NO,0,77,70.03,20.97,26.6,1.12
viedma,AR,0,35,-40.81,-63,56.83,20.07
samarai,PG,0,100,-10.62,150.67,83.47,5.41
ilhabela,BR,0,99,-23.78,-45.36,83.69,8.66
tabou,CI,0,100,4.42,-7.35,82.61,5.19
huainan,CN,92,100,32.63,117,49.27,12.12
esperance,AU,0,22,-33.87,121.9,102.41,14.7
victoria,CA,5,100,48.43,-123.37,33.8,2.24
waingapu,ID,20,55,-9.66,120.26,90.22,13.02
tiznit,MA,0,70,29.58,-9.5,27.89,2.73
ilulissat,GL,80,85,69.22,-51.1,12.2,11.41
oruro,BO,76,100,-17.98,-67.15,43.06,2.84
san quintin,MX,76,99,30.48,-115.95,45.04,5.53
faya,ZA,36,90,-29.34,30.63,65.38,2.84
ambilobe,MG,8,99,-13.2,49.05,79.64,4.18
suntar,RU,20,56,62.14,117.63,-19.5,3.18
dalbandin,PK,0,47,28.89,64.41,61.19,2.73
antiguo morelos,MX,92,91,22.55,-99.08,67.76,3.51
east bethel,US,90,64,45.32,-93.2,1.4,8.05
taksimo,RU,44,81,56.34,114.88,-10.95,1.83
faanui,PF,36,100,-16.48,-151.75,80.86,1.61
sur,OM,0,97,22.57,59.53,75.46,3.06
mamou,GN,8,61,10.38,-12.09,55.03,2.62
axim,GH,0,98,4.87,-2.24,82.21,13.47
kiama,AU,75,65,-34.68,150.87,77,14.99
iqaluit,CA,90,77,63.75,-68.51,5,3.36
kavieng,PG,20,100,-2.57,150.8,85.81,6.42
bodden town,KY,0,100,19.28,-81.25,78.61,4.18
aporawan,PH,75,74,9.6,118.35,87.8,6.93
santa isabel do rio negro,BR,44,99,-0.41,-65.02,73.21,2.73
hualmay,PE,32,96,-11.1,-77.61,61.91,3.18
umzimvubu,ZA,32,95,-30.55,29.42,61.06,3.06
basoko,CD,36,82,1.24,23.62,77.08,6.76
tuggurt,DZ,0,48,33.11,6.06,41,8.99
padang,ID,80,100,-0.95,100.35,79.73,5.41
koungou,YT,40,70,-12.73,45.2,84.2,5.82
kambove,CD,80,95,-10.88,26.6,65.83,3.74
general roca,AR,0,45,-39.03,-67.58,62.6,13.87
la ronge,CA,90,77,55.1,-105.28,1.4,8.05
flin flon,CA,24,72,54.77,-101.86,-11.13,4.63
okhotsk,RU,56,100,59.38,143.3,-17.97,6.87
voh,NC,80,99,-20.97,164.7,78.56,11.68
labuhan,ID,44,100,-6.88,112.21,81.26,10.22
carnarvon,AU,32,72,-24.87,113.63,80.54,19.28
smithers,CA,90,91,54.78,-127.17,3.2,1.72
jomalig,PH,12,100,14.71,122.37,80.81,21.52
bokspits,ZA,40,78,-28.45,21.26,71.6,11.41
roald,NO,0,68,62.58,6.13,28.4,12.75
deep river,CA,90,78,46.1,-77.5,14,11.41
husavik,IS,90,90,66.04,-17.34,42.8,23.04
tasiilaq,GL,44,100,65.61,-37.64,25.24,12.68
nouadhibou,MR,68,75,20.93,-17.03,61.73,5.75
bandundu,CD,36,99,-3.32,17.37,72.49,3.74
nanortalik,GL,64,100,60.14,-45.24,25.42,29.8
avera,US,1,65,33.23,-82.6,50,4.7
wuchang,CN,0,85,44.91,127.15,7.28,2.62
kaeo,NZ,8,35,-35.1,173.78,72.89,5.19
sao raimundo nonato,BR,0,64,-9.02,-42.7,74.74,5.08
umea,SE,0,83,63.83,20.26,-7.61,5.82
barrow,US,90,85,71.29,-156.79,24.8,34.45
doha,QA,0,68,25.29,51.53,64.4,8.05
hofn,IS,92,100,64.25,-15.21,42.97,26.89
alugan,PH,92,95,12.22,125.48,80.86,16.49
touros,BR,76,97,-5.2,-35.46,76.58,10.11
vanimo,PG,0,100,-2.67,141.3,82.93,6.98
naze,JP,75,55,28.37,129.48,66.2,4.7
muroto,JP,75,34,33.28,134.15,51.8,18.34
inirida,CO,80,98,3.87,-67.92,72.89,2.28
bambous virieux,MU,40,69,-20.34,57.76,82.4,8.05
la reforma,MX,40,72,25.08,-108.05,66.2,4.18
san patricio,MX,0,100,19.22,-104.7,64.3,2.39
xai-xai,MZ,56,98,-25.05,33.64,77.62,10.22
brae,GB,0,100,60.4,-1.35,32,8.05
bud,US,75,62,39.45,-86.18,19.4,11.41
port macquarie,AU,75,61,-31.43,152.92,78.8,12.75
berlevag,NO,80,100,70.86,29.09,17.99,10.56
hay river,CA,90,92,60.82,-115.8,10.4,2.24
cam ranh,VN,92,97,11.92,109.16,75.46,11.01
sao joao da barra,BR,0,93,-21.64,-41.05,76.49,22.75
severo-kurilsk,RU,88,100,50.68,156.12,29.11,30.58
new norfolk,AU,75,68,-42.78,147.06,64.4,20.8
bilibino,RU,0,0,68.05,166.44,-42.27,2.28
haines junction,CA,68,61,60.75,-137.51,-4.87,1.95
lasa,IT,90,92,46.62,10.7,19.4,13.87
bandarbeyla,SO,88,100,9.49,50.81,76,19.51
astana,KZ,90,92,51.18,71.45,28.4,17.9
huarmey,PE,8,93,-10.07,-78.15,60.52,2.39
tiksi,RU,8,0,71.69,128.87,-49.38,4.07
saskylakh,RU,0,0,71.92,114.08,-60.36,3.18
meulaboh,ID,100,100,4.14,96.13,76,14.92
bukama,CD,36,86,-9.2,25.85,73.16,6.2
nikolskoye,RU,75,70,59.68,30.67,-5.81,13.42
congonhas,BR,20,87,-20.5,-43.86,65.92,6.08
katha,NP,0,80,28.71,80.6,63.71,3.74
sao jose da coroa grande,BR,68,97,-8.9,-35.15,75.46,7.99
sharanga,RU,76,77,57.18,46.54,7.01,10.22
bambanglipuro,ID,76,100,-7.95,110.28,80.54,3.4
okha,RU,12,85,53.57,142.95,-5.32,10.67
kotido,UG,0,40,2.98,34.13,72.49,10.56
oleksandrivka,UA,64,84,48.96,32.23,28.57,12.57
klaebu,NO,75,77,63.3,10.48,21.2,10.29
rancho palos verdes,US,90,87,33.74,-118.39,57.2,2.62
richards bay,ZA,92,100,-28.78,32.04,69.7,2.95
hyvinkaa,FI,0,77,60.63,24.87,-0.41,14.99
gumrak,RU,90,100,48.78,44.38,30.2,17.9
kruisfontein,ZA,64,80,-34,24.73,72.22,7.54
mecca,SA,0,77,21.43,39.83,68,3.62
pangnirtung,CA,90,77,66.15,-65.71,1.4,2.95
gornopravdinsk,RU,0,39,60.05,69.9,-25.57,5.53
ponta delgada,PT,20,82,37.73,-25.67,60.8,5.82
griffith,US,75,56,41.53,-87.42,17.6,12.75
baykit,RU,76,79,61.67,96.37,-5.59,3.62
mitsamiouli,KM,20,70,-11.38,43.28,84.2,2.24
sumedang,ID,76,79,-7,108.03,77.08,2.17
dunedin,NZ,88,71,-45.87,170.5,56.06,6.42
dankov,RU,44,93,53.25,39.16,29.24,13.47
santa maria da vitoria,BR,12,83,-13.39,-44.19,68.35,4.63
port said,EG,0,93,31.26,32.28,50,4.7
wladyslawowo,PL,75,68,54.79,18.4,24.8,19.46
vorobyevka,RU,92,96,50.64,40.93,30.23,13.58
benicarlo,ES,0,100,40.42,0.43,54.13,9.22
matadi,CD,68,95,-5.82,13.45,76.13,3.51
thompson,CA,75,75,55.74,-97.86,-13.01,5.82
constitucion,CL,0,76,-35.33,-72.42,60.43,14.7
agua prieta,MX,1,70,31.3,-109.57,46.4,5.82
teguise,ES,0,99,29.06,-13.56,61.01,14.14
liverpool,GB,0,92,53.41,-2.98,77,5.82
bonthe,SL,0,79,7.53,-12.51,78.97,4.85
yelanskiy,RU,56,73,56.84,62.5,-6.49,3.85
borba,BR,32,95,-4.39,-59.59,75.68,2.17
caravelas,BR,36,99,-17.71,-39.25,80.18,14.03
sao filipe,CV,0,93,14.9,-24.5,75.01,13.47
muisne,EC,92,97,0.6,-80.03,73.61,3.51
yaan,CN,0,100,29.97,103.09,53.63,3.62
souillac,MU,40,69,-20.52,57.52,82.4,8.05
guerrero negro,MX,8,97,27.98,-114.06,54.67,8.43
turayf,SA,0,74,31.67,38.66,33.8,4.7
vietri sul mare,IT,90,96,40.67,14.73,44.6,17.22
semirom,IR,0,19,31.42,51.57,39.64,3.18
grand river south east,MU,40,69,-20.29,57.78,82.4,8.05
sitka,US,90,74,57.05,-135.33,50,4.7
kasempa,ZM,80,100,-13.46,25.83,65.69,5.64
priiskovyy,RU,32,83,51.93,116.63,4.27,3.96
gerash,IR,0,47,27.67,54.14,57.2,2.84
bubaque,GW,0,100,11.28,-15.83,73.88,19.28
hambantota,LK,36,100,6.12,81.12,80.81,5.97
la asuncion,VE,32,95,11.03,-63.86,77.35,10.22
auki,SB,56,100,-8.77,160.7,81.08,3.18
severo-yeniseyskiy,RU,76,76,60.37,93.04,20.06,6.87
ribeira grande,PT,32,100,38.52,-28.7,60.43,7.99
urumqi,CN,75,92,43.8,87.6,8.6,2.24
vila velha,BR,0,78,-20.33,-40.29,77,5.82
port hardy,CA,5,85,50.7,-127.42,24.8,3.36
abu samrah,SY,100,96,35.17,37.25,38.96,2.73
malakal,SS,0,40,9.53,31.66,78.83,16.37
mayo,US,1,34,38.89,-76.51,37.4,12.75
ikryanoye,RU,0,92,46.09,47.73,24.8,4.47
garissa,KE,0,69,-0.45,39.64,80.86,4.85
kyzyl-suu,UZ,88,90,41.57,70.02,22.45,1.72
san jeronimo,PE,92,96,-11.95,-75.28,39.1,1.83
moron,AR,0,93,-34.65,-58.62,66.2,3.36
minamata,JP,0,54,32.22,130.4,53.6,4.7
kaitangata,NZ,8,68,-46.23,169.75,57.01,14.03
ahipara,NZ,8,68,-35.17,173.17,67.04,12.46
ambon,ID,40,83,-3.7,128.18,84.2,2.24
pevek,RU,0,100,69.7,170.31,-25.21,9.66
comodoro rivadavia,AR,0,100,-45.87,-67.5,46.4,10.29
zlatoustovsk,RU,24,65,53.07,132.97,-10.32,2.62
lebowakgomo,ZA,40,82,-24.2,29.5,59,6.93
konya,TR,40,92,38.17,32.5,6.8,2.24
broome,AU,90,62,-17.97,122.23,86,14.99
pisco,PE,90,94,-13.7,-76.22,68,4.7
kenner,US,20,71,29.99,-90.24,51.8,5.82
camacha,PT,40,88,33.08,-16.33,62.6,11.41
deputatskiy,RU,44,80,69.3,139.9,-39.66,2.84
sept-iles,CA,90,92,50.2,-66.38,26.6,3.36
keetmanshoop,NA,0,64,-26.58,18.13,73.4,4.41
seymchan,RU,0,0,62.88,152.43,-46.5,2.73
coihaique,CL,0,73,-45.58,-72.07,39.2,5.82
tungor,RU,12,85,53.38,142.96,-5.32,10.67
el balyana,IN,0,64,31.9,76.22,62.09,0.38
ban nahin,LA,48,50,18.24,104.21,83.38,2.95
ranong,TH,88,100,9.97,98.63,81.08,13.91
udachnyy,RU,0,0,66.42,112.4,-44.74,2.62
nachingwea,TZ,76,72,-10.38,38.77,79.15,4.41
tianpeng,CN,0,82,30.99,103.94,55.4,4.47
bestobe,KZ,24,91,52.5,73.1,25.42,13.24
thinadhoo,MV,0,100,0.53,72.93,81.44,9.78
beira,MZ,40,83,-19.84,34.84,80.6,6.93
ngunguru,NZ,0,88,-35.62,174.5,66.68,8.88
hamilton,CA,40,66,43.23,-79.95,19.4,19.46
los llanos de aridane,ES,0,18,28.66,-17.92,69.8,10.29
baiyin,CN,0,23,36.56,104.21,41,6.71
esmeraldas,BR,0,73,-19.76,-44.31,69.8,9.44
cayenne,GF,90,94,4.93,-52.33,78.8,1.12
barranca,PE,64,100,-10.75,-77.77,64.93,5.86
annaka,JP,8,52,36.32,138.9,33.07,9.33
tarabuco,BO,68,90,-19.17,-64.92,48.64,2.06
bairiki,NE,0,50,13.64,4.03,56.33,10
wanning,CN,0,95,18.8,110.4,75.91,8.66
darhan,MN,44,86,49.49,105.92,15.7,4.18
sentyabrskiy,RU,20,39,60.75,72.86,-25.57,3.51
dire dawa,ET,0,22,9.59,41.87,62.68,3.18
boyolangu,ID,56,96,-8.12,111.89,83.78,6.76
san bartolome de tirajana,ES,0,51,27.92,-15.57,60.8,3.36
lichuan,CN,92,99,30.3,108.85,51.52,2.17
chiang klang,TH,90,94,19.29,100.86,68,3.36
boralday,KZ,90,92,43.36,76.86,28.4,11.18
kahului,US,20,73,20.89,-156.47,71.6,6.93
marsabit,KE,0,26,2.33,37.99,79.78,9.89
beringovskiy,RU,32,100,63.05,179.32,10.93,6.42
labuan,ID,88,100,-6.38,105.83,79.64,6.76
odweyne,CI,0,64,9.51,-7.57,57.01,2.73
ancud,CL,36,90,-41.87,-73.82,44.14,2.95
saint-augustin,CA,92,86,51.23,-58.65,36.44,24.09
nguiu,CF,0,49,6.5,23.27,68.84,13.58
igarka,RU,48,58,67.47,86.58,-33.09,5.3
shimoda,JP,75,32,34.67,138.95,51.8,14.99
havoysund,NO,90,100,71,24.66,24.8,13.87
monduli,TZ,20,93,-3.3,36.45,55.4,3.96
anchorage,US,1,91,61.22,-149.9,8.6,3.36
adrar,DZ,0,47,27.87,-0.29,37.4,5.82
lompoc,US,90,100,34.64,-120.46,60.8,8.05
iracoubo,GF,92,99,5.48,-53.2,74.74,4.18
kavaratti,IN,0,97,10.57,72.64,84.1,10.78
cabo san lucas,MX,40,45,22.89,-109.91,68,4.7
batagay,RU,56,0,67.63,134.63,-44.34,3.18
naliya,IN,0,60,23.27,68.83,73.57,4.63
karratha,AU,0,8,-20.74,116.85,113.66,6.64
laguna,US,75,100,38.42,-121.42,48.2,3.29
port elizabeth,ZA,0,83,-33.92,25.57,69.8,12.75
mehamn,NO,80,99,71.04,27.85,22.49,15.48
san-pedro,CI,32,95,4.75,-6.64,76.31,4.74
mayumba,GA,44,100,-3.43,10.66,76.18,5.75
rosarito,MX,75,81,32.33,-117.03,57.2,4.7
turkmenabat,TM,20,93,39.07,63.58,35.6,4.7
kununurra,AU,75,62,-15.77,128.73,89.6,12.75
saleaula,IN,0,41,17.31,78.48,78.8,6.93
eyl,SO,56,100,7.98,49.82,74.33,15.03
awjilah,LY,0,41,29.11,21.29,75.2,2.24
ahuimanu,US,75,82,21.44,-157.84,71.6,6.53
sorland,NO,75,73,67.67,12.69,23,8.05
adwa,US,90,85,43.42,-116.13,23,6.93
itahari,NP,0,64,26.67,87.28,67.9,4.41
muros,ES,75,100,42.78,-9.06,50,1.12
arlit,NE,0,48,18.74,7.39,44.05,3.4
sezze,IT,90,86,41.5,13.06,42.8,3.36
senanga,ZM,32,97,-16.12,23.27,68.26,12.46
botngard,NO,40,85,63.77,9.81,21.2,18.34
ngukurr,AU,48,66,-15.31,134.97,95.89,10
karkaralinsk,KZ,80,96,49.41,75.47,24.52,9.78
anadyr,RU,0,64,64.75,177.48,1.4,4.47
kuche,IN,0,68,28.63,77.25,66.2,4.7
chagda,IN,0,39,17.49,78.3,78.8,4.7
altamira,BR,88,98,-3.2,-52.21,74.74,2.95
nuuk,GL,36,100,64.18,-51.72,11.29,9.33
krasnoselkup,RU,36,78,65.7,82.47,-38.17,9.22
aden,YE,0,100,12.78,45.04,76.36,4.74
san rafael,AR,0,38,-34.62,-68.33,56.65,6.76
morti,FI,0,77,60.15,24.76,-0.41,11.41
te anau,NZ,0,56,-45.42,167.72,56.11,6.42
nalvo,PH,0,63,17.36,120.46,83.74,2.39
aflu,DZ,44,96,34.11,2.1,35.99,8.21
zachagansk,KZ,90,92,51.23,51.37,14,4.47
pangai,TO,90,83,-19.8,-174.35,82.4,5.82
krasnyy chikoy,RU,12,79,50.36,108.75,14.62,2.95
santa isabel,BR,40,83,-23.32,-46.22,75.2,4.7
cabrera,DO,0,100,19.64,-69.9,79.06,14.36
swift current,CA,90,84,50.28,-107.8,-0.41,17.22
buraydah,SA,0,61,26.33,43.97,46.4,6.93
omsukchan,RU,0,0,62.53,155.8,-49.65,2.73
jacareacanga,BR,32,93,-6.22,-57.75,74.65,2.39
rolim de moura,BR,12,98,-11.5,-61.47,71.41,1.95
new ulm,US,32,70,44.31,-94.46,-0.41,11.41
mackay,AU,75,94,-21.15,149.2,80.6,14.99
curup,ID,48,78,-3.47,102.53,77.62,2.62
dwarka,IN,0,100,22.24,68.97,73.3,8.88
ila,NG,0,86,8.02,4.9,57.59,2.73
alexandria,EG,0,75,31.22,29.96,42.8,2.24
vostok,RU,0,63,46.49,135.88,5.84,2.73
neepawa,CA,90,69,50.23,-99.47,-9.41,5.82
gaya,IN,0,64,24.78,85,68,4.7
praia,CV,40,64,14.92,-23.51,73.4,16.11
byron bay,AU,75,65,-28.65,153.62,80.6,12.75
saldanha,ZA,0,82,-33.01,17.94,64.4,17.22
flinders,AU,75,65,-34.58,150.86,77,14.99
